-2	86400
-1	88275.1
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	2
47	2
48	0
49	25
50	124
51	152
52	177
53	222
54	217
55	257
56	247
57	263
58	243
59	265
60	240
61	238
62	259
63	216
64	243
65	241
66	251
67	249
68	247
69	211
70	245
71	237
72	267
73	255
74	274
75	253
76	212
77	264
78	255
79	233
80	261
81	272
82	243
83	263
84	222
85	247
86	241
87	224
88	261
89	232
90	260
91	241
92	249
93	240
94	237
95	292
96	253
97	219
98	236
99	288
100	257
101	272
102	249
103	265
104	241
105	280
106	283
107	289
108	330
109	271
110	303
111	326
112	320
113	281
114	313
115	320
116	302
117	316
118	308
119	312
120	330
121	296
122	338
123	338
124	328
125	370
126	362
127	350
128	352
129	356
130	374
131	367
132	373
133	376
134	380
135	375
136	402
137	344
138	378
139	378
140	402
141	370
142	387
143	387
144	377
145	404
146	433
147	440
148	428
149	437
150	431
151	457
152	423
153	434
154	472
155	459
156	492
157	422
158	445
159	406
160	416
161	420
162	428
163	443
164	455
165	456
166	469
167	448
168	441
169	463
170	424
171	424
172	434
173	453
174	455
175	472
176	462
177	454
178	474
179	472
180	447
181	440
182	456
183	479
184	402
185	420
186	466
187	460
188	488
189	474
190	471
191	479
192	489
193	438
194	451
195	470
196	475
197	450
198	412
199	470
200	477
201	471
202	454
203	483
204	473
205	503
206	462
207	452
208	456
209	444
210	445
211	437
212	467
213	431
214	461
215	486
216	512
217	442
218	435
219	495
220	489
221	467
222	428
223	446
224	444
225	427
226	438
227	414
228	430
229	452
230	394
231	458
232	404
233	453
234	441
235	408
236	398
237	440
238	423
239	409
240	418
241	431
242	390
243	367
244	408
245	420
246	415
247	404
248	423
249	399
250	362
251	446
252	407
253	365
254	352
255	401
256	373
257	373
258	410
259	400
260	398
261	355
262	420
263	425
264	399
265	410
266	371
267	371
268	393
269	372
270	403
271	387
272	356
273	370
274	384
275	363
276	388
277	368
278	350
279	370
280	387
281	365
282	355
283	361
284	317
285	363
286	325
287	329
288	370
289	342
290	359
291	355
292	338
293	351
294	332
295	334
296	327
297	303
298	333
299	341
300	338
301	332
302	333
303	303
304	328
305	307
306	335
307	300
308	327
309	330
310	318
311	319
312	332
313	329
314	310
315	296
316	320
317	301
318	335
319	310
320	287
321	302
322	281
323	264
324	323
325	281
326	262
327	323
328	310
329	308
330	315
331	315
332	284
333	284
334	297
335	296
336	301
337	261
338	284
339	277
340	290
341	278
342	266
343	279
344	253
345	280
346	274
347	283
348	295
349	262
350	255
351	265
352	281
353	277
354	281
355	246
356	266
357	257
358	284
359	280
360	270
361	242
362	257
363	278
364	249
365	240
366	263
367	281
368	267
369	250
370	235
371	253
372	251
373	250
374	240
375	248
376	257
377	227
378	257
379	255
380	254
381	238
382	268
383	247
384	244
385	244
386	229
387	233
388	250
389	251
390	225
391	229
392	246
393	196
394	236
395	245
396	250
397	248
398	197
399	217
400	222
401	252
402	224
403	231
404	222
405	205
406	222
407	217
408	223
409	211
410	237
411	223
412	222
413	214
414	230
415	242
416	218
417	227
418	201
419	210
420	204
421	219
422	199
423	247
424	220
425	209
426	201
427	201
428	215
429	213
430	206
431	188
432	222
433	217
434	217
435	183
436	222
437	222
438	200
439	214
440	219
441	202
442	220
443	198
444	226
445	195
446	185
447	209
448	184
449	177
450	178
451	185
452	218
453	196
454	204
455	177
456	188
457	202
458	200
459	186
460	205
461	174
462	216
463	202
464	199
465	177
466	202
